name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes,activity_zone_id,production,attraction,activity_location_tab
,3482,,,,0.0,,poi,0.0,-122.4324017788135,37.770723439719134,,2834.0,,7,1.934759074848,1.934759074848,poi
,3483,,,,0.0,,poi,0.0,-122.4324094680685,37.77010865981968,,2835.0,,12,0.963047063488,0.963047063488,poi
,3484,,,,0.0,,poi,0.0,-122.43036158117502,37.77034326731755,,2836.0,,7,0.221305997824,0.221305997824,poi
,3485,,,,0.0,,poi,0.0,-122.43035687221956,37.77054300141605,,2837.0,,7,1.35544541712,1.35544541712,poi
,3486,,,,0.0,,poi,0.0,-122.43098014035624,37.77027965137353,,2838.0,,7,1.2143305517759997,1.2143305517759997,poi
,3487,,,,0.0,,poi,0.0,-122.43153307818392,37.77032817037379,,2839.0,,7,1.77012506528,1.77012506528,poi
,3488,,,,0.0,,poi,0.0,-122.43107237057865,37.77029293245024,,2840.0,,7,1.594350408448,1.594350408448,poi
,3489,,,,0.0,,poi,0.0,-122.43076164496132,37.77052527238018,,2841.0,,7,1.1462488184959998,1.1462488184959998,poi
,3490,,,,0.0,,poi,0.0,-122.43056540225423,37.770377294551785,,2842.0,,7,1.492846733376,1.492846733376,poi
,3491,,,,0.0,,poi,0.0,-122.43102429074696,37.77049832572732,,2843.0,,7,1.241563245088,1.241563245088,poi
,3492,,,,0.0,,poi,0.0,-122.43037870049149,37.77060768776865,,2844.0,,7,1.8988614336639997,1.8988614336639997,poi
,3493,,,,0.0,,poi,0.0,-122.43110544988113,37.770495556086274,,2845.0,,7,1.0076096525440001,1.0076096525440001,poi
,3494,,,,0.0,,poi,0.0,-122.43033030575684,37.77041551678554,,2846.0,,7,1.4878953345919999,1.4878953345919999,poi
,3495,,,,0.0,,poi,0.0,-122.43034535644922,37.770480749280175,,2847.0,,7,1.490371033984,1.490371033984,poi
,3496,,,,0.0,,poi,0.0,-122.43072542669118,37.770329867084776,,2848.0,,7,1.5510256690879998,1.5510256690879998,poi
,3497,,,,0.0,,poi,0.0,-122.43081238105064,37.770320481046724,,2849.0,,7,1.5460742703039998,1.5460742703039998,poi
,3498,,,,0.0,,poi,0.0,-122.4308992219622,37.7703190713759,,2850.0,,7,1.588161159968,1.588161159968,poi
,3499,,,,0.0,,poi,0.0,-122.43132710268652,37.77025209376954,,2851.0,,7,1.2031899045119998,1.2031899045119998,poi
,3500,,,,0.0,,poi,0.0,-122.43064346969216,37.77035098092982,,2852.0,,7,1.6921405344319997,1.6921405344319997,poi
,3501,,,,0.0,,poi,0.0,-122.43136760263893,37.77046180043614,,2853.0,,7,1.39877015648,1.39877015648,poi
,3502,,,,0.0,,poi,0.0,-122.43157448512005,37.77046721979447,,2854.0,,7,2.127863627424,2.127863627424,poi
,3503,,,,0.0,,poi,0.0,-122.4312789904706,37.7704666481351,,2855.0,,7,1.2947907820159998,1.2947907820159998,poi
,3504,,,,0.0,,poi,0.0,-122.43158727778322,37.77038945384664,,2856.0,,7,0.9741877107520001,0.9741877107520001,poi
,3505,,,,0.0,,poi,0.0,-122.4308545628586,37.77050602248299,,2857.0,,7,1.16976796272,1.16976796272,poi
,3506,,,,0.0,,poi,0.0,-122.431196169746,37.77048510139824,,2858.0,,7,1.282412285056,1.282412285056,poi
,3507,,,,0.0,,poi,0.0,-122.4309424827722,37.770518177123634,,2859.0,,7,0.9915176064959998,0.9915176064959998,poi
,3508,,,,0.0,,poi,0.0,-122.43059575134926,37.77055713497451,,2860.0,,7,1.2551795917439998,1.2551795917439998,poi
,3509,,,,0.0,,poi,0.0,-122.43124144271505,37.77028029129904,,2861.0,,7,1.8419203476480002,1.8419203476480002,poi
,3510,,,,0.0,,poi,0.0,-122.43067920937388,37.77053495530699,,2862.0,,7,1.0917834318719999,1.0917834318719999,poi
,3511,,,,0.0,,poi,0.0,-122.43115350818344,37.77029894928211,,2863.0,,7,1.755270868928,1.755270868928,poi
,3512,,,,0.0,,poi,0.0,-122.43120036565064,37.77089110478326,,2864.0,,7,1.75155731984,1.75155731984,poi
,3513,,,,0.0,,poi,0.0,-122.43049198487587,37.77096614105712,,2865.0,,7,1.286125834144,1.286125834144,poi
,3514,,,,0.0,,poi,0.0,-122.43164870284686,37.77068224672518,,2866.0,,7,1.0620750391679998,1.0620750391679998,poi
,3515,,,,0.0,,poi,0.0,-122.43045581336372,37.77076543013447,,2867.0,,7,2.551208223456,2.551208223456,poi
,3516,,,,0.0,,poi,0.0,-122.4309453334092,37.770917122412015,,2868.0,,7,2.101868783808,2.101868783808,poi
,3517,,,,0.0,,poi,0.0,-122.43046146025394,37.77089823761628,,2869.0,,7,1.9322833754559996,1.9322833754559996,poi
,3518,,,,0.0,,poi,0.0,-122.43128045083792,37.77067720972682,,2870.0,,7,1.8580123936959998,1.8580123936959998,poi
,3519,,,,0.0,,poi,0.0,-122.43047058347756,37.77083020521088,,2871.0,,7,1.490371033984,1.490371033984,poi
,3520,,,,0.0,,poi,0.0,-122.43047371876207,37.77103408221279,,2872.0,,7,1.820876902816,1.820876902816,poi
,3521,,,,0.0,,poi,0.0,-122.43090603174495,37.77073262060599,,2873.0,,7,1.236611846304,1.236611846304,poi
,3522,,,,0.0,,poi,0.0,-122.43128689331176,37.77087884927728,,2874.0,,7,1.9087642312319997,1.9087642312319997,poi
,3523,,,,0.0,,poi,0.0,-122.43085944579005,37.77093369940529,,2875.0,,7,1.9496132711999998,1.9496132711999998,poi
,3524,,,,0.0,,poi,0.0,-122.43070123984786,37.770902059761255,,2876.0,,7,6.154588688511999,6.154588688511999,poi
,3525,,,,0.0,,poi,0.0,-122.43168543609757,37.7706145083252,,2877.0,,7,0.508756225056,0.508756225056,poi
,3526,,,,0.0,,poi,0.0,-122.4315817,37.77062760000001,,2878.0,,7,0.522372571712,0.522372571712,poi
,3527,,,,0.0,,poi,0.0,-122.43169141568266,37.77084222019343,,2879.0,,7,3.0067369115840004,3.0067369115840004,poi
,3528,,,,0.0,,poi,0.0,-122.43142388038024,37.77068022811611,,2880.0,,7,1.49779813216,1.49779813216,poi
,3529,,,,0.0,,poi,0.0,-122.43154635713665,37.77086566232198,,2881.0,,7,1.2997421808,1.2997421808,poi
,3530,,,,0.0,,poi,0.0,-122.43137593283949,37.77088671429607,,2882.0,,7,1.4000080061759999,1.4000080061759999,poi
,3531,,,,0.0,,poi,0.0,-122.4314564324547,37.77085066278821,,2883.0,,7,1.8765801391359997,1.8765801391359997,poi
,3532,,,,0.0,,poi,0.0,-122.4308200845178,37.770735474791906,,2884.0,,7,1.013798901024,1.013798901024,poi
,3533,,,,0.0,,poi,0.0,-122.43111390219043,37.770891005396216,,2885.0,,7,2.039976299008,2.039976299008,poi
,3534,,,,0.0,,poi,0.0,-122.43107319760362,37.77070188385135,,2886.0,,7,0.9259115726079999,0.9259115726079999,poi
,3535,,,,0.0,,poi,0.0,-122.43102497740853,37.770883931132005,,2887.0,,7,1.9681810166399998,1.9681810166399998,poi
,3536,,,,0.0,,poi,0.0,-122.43165862463093,37.77074576071306,,2888.0,,7,1.659956442336,1.659956442336,poi
,3537,,,,0.0,,poi,0.0,-122.429339438372,37.77050775779949,,2889.0,,8,1.378964561344,1.378964561344,poi
,3538,,,,0.0,,poi,0.0,-122.42951614772234,37.770516927565744,,2890.0,,8,1.300980030496,1.300980030496,poi
